Domain,Reporter Countries,Partner Countries,Element,Item,Year,Value
"Detailed trade matrix","United States of America","Argentina","Import Quantity","Maize (corn)","2021","227962.59"
"Detailed trade matrix","United States of America","Austria","Import Quantity","Maize (corn)","2021","15.38"
"Detailed trade matrix","United States of America","Bangladesh","Import Quantity","Sweet corn, frozen","2021","0.52"
"Detailed trade matrix","United States of America","Belgium","Import Quantity","Green corn (maize)","2021","11.32"
"Detailed trade matrix","United States of America","Belgium","Import Quantity","Sweet corn, frozen","2021","8.75"
"Detailed trade matrix","United States of America","Bolivia (Plurinational State of)","Import Quantity","Maize (corn)","2021","5.46"
"Detailed trade matrix","United States of America","Brazil","Import Quantity","Maize (corn)","2021","114273.98"
"Detailed trade matrix","United States of America","Brazil","Import Quantity","Sweet corn, prepared or preserved","2021","2906.86"
"Detailed trade matrix","United States of America","Canada","Import Quantity","Green corn (maize)","2021","3826.79"
"Detailed trade matrix","United States of America","Canada","Import Quantity","Maize (corn)","2021","264315.31"
"Detailed trade matrix","United States of America","Canada","Import Quantity","Sweet corn, frozen","2021","21162.29"
"Detailed trade matrix","United States of America","Canada","Import Quantity","Sweet corn, prepared or preserved","2021","1336.07"
"Detailed trade matrix","United States of America","Chile","Import Quantity","Maize (corn)","2021","13506.42"
"Detailed trade matrix","United States of America","China, mainland","Import Quantity","Maize (corn)","2021","98.74"
"Detailed trade matrix","United States of America","China, mainland","Import Quantity","Sweet corn, frozen","2021","2944.02"
"Detailed trade matrix","United States of America","China, mainland","Import Quantity","Sweet corn, prepared or preserved","2021","4150.5"
"Detailed trade matrix","United States of America","China, Taiwan Province of","Import Quantity","Maize (corn)","2021","33.59"
"Detailed trade matrix","United States of America","China, Taiwan Province of","Import Quantity","Sweet corn, frozen","2021","0.03"
"Detailed trade matrix","United States of America","Colombia","Import Quantity","Maize (corn)","2021","168.28"
"Detailed trade matrix","United States of America","Colombia","Import Quantity","Sweet corn, frozen","2021","5.34"
"Detailed trade matrix","United States of America","Costa Rica","Import Quantity","Sweet corn, frozen","2021","245.93"
"Detailed trade matrix","United States of America","Denmark","Import Quantity","Maize (corn)","2021","7.61"
"Detailed trade matrix","United States of America","Dominican Republic","Import Quantity","Green corn (maize)","2021","17.45"
"Detailed trade matrix","United States of America","Ecuador","Import Quantity","Maize (corn)","2021","8.08"
"Detailed trade matrix","United States of America","Egypt","Import Quantity","Sweet corn, frozen","2021","73.96"
"Detailed trade matrix","United States of America","Egypt","Import Quantity","Sweet corn, prepared or preserved","2021","561.84"
"Detailed trade matrix","United States of America","El Salvador","Import Quantity","Maize (corn)","2021","12.36"
"Detailed trade matrix","United States of America","El Salvador","Import Quantity","Sweet corn, frozen","2021","482.25"
"Detailed trade matrix","United States of America","Ethiopia","Import Quantity","Sweet corn, prepared or preserved","2021","94.87"
"Detailed trade matrix","United States of America","France","Import Quantity","Maize (corn)","2021","346.2"
"Detailed trade matrix","United States of America","Germany","Import Quantity","Maize (corn)","2021","21.64"
"Detailed trade matrix","United States of America","Ghana","Import Quantity","Maize (corn)","2021","11.3"
"Detailed trade matrix","United States of America","Greece","Import Quantity","Sweet corn, frozen","2021","41.72"
"Detailed trade matrix","United States of America","Guatemala","Import Quantity","Green corn (maize)","2021","672.66"
"Detailed trade matrix","United States of America","Guatemala","Import Quantity","Maize (corn)","2021","43.27"
"Detailed trade matrix","United States of America","Guatemala","Import Quantity","Sweet corn, prepared or preserved","2021","17.45"
"Detailed trade matrix","United States of America","Guyana","Import Quantity","Maize (corn)","2021","2.69"
"Detailed trade matrix","United States of America","Honduras","Import Quantity","Maize (corn)","2021","42.99"
"Detailed trade matrix","United States of America","India","Import Quantity","Maize (corn)","2021","14.86"
"Detailed trade matrix","United States of America","India","Import Quantity","Sweet corn, frozen","2021","1434.61"
"Detailed trade matrix","United States of America","India","Import Quantity","Sweet corn, prepared or preserved","2021","43.9"
"Detailed trade matrix","United States of America","Israel","Import Quantity","Sweet corn, prepared or preserved","2021","10.51"
"Detailed trade matrix","United States of America","Italy","Import Quantity","Sweet corn, prepared or preserved","2021","700.15"
"Detailed trade matrix","United States of America","Japan","Import Quantity","Sweet corn, prepared or preserved","2021","1.8"
"Detailed trade matrix","United States of America","Mexico","Import Quantity","Green corn (maize)","2021","83456.77"
"Detailed trade matrix","United States of America","Mexico","Import Quantity","Maize (corn)","2021","23174.88"
"Detailed trade matrix","United States of America","Mexico","Import Quantity","Sweet corn, frozen","2021","6947.96"
"Detailed trade matrix","United States of America","Mexico","Import Quantity","Sweet corn, prepared or preserved","2021","3.31"
"Detailed trade matrix","United States of America","New Zealand","Import Quantity","Maize (corn)","2021","4.6"
"Detailed trade matrix","United States of America","Nigeria","Import Quantity","Maize (corn)","2021","1.82"
"Detailed trade matrix","United States of America","Pakistan","Import Quantity","Maize (corn)","2021","5.5"
"Detailed trade matrix","United States of America","Pakistan","Import Quantity","Sweet corn, prepared or preserved","2021","1.49"
"Detailed trade matrix","United States of America","Panama","Import Quantity","Maize (corn)","2021","0.81"
"Detailed trade matrix","United States of America","Peru","Import Quantity","Maize (corn)","2021","1572.28"
"Detailed trade matrix","United States of America","Peru","Import Quantity","Sweet corn, frozen","2021","3148.14"
"Detailed trade matrix","United States of America","Peru","Import Quantity","Sweet corn, prepared or preserved","2021","32.5"
"Detailed trade matrix","United States of America","Philippines","Import Quantity","Sweet corn, frozen","2021","5.57"
"Detailed trade matrix","United States of America","Philippines","Import Quantity","Sweet corn, prepared or preserved","2021","8.1"
"Detailed trade matrix","United States of America","Poland","Import Quantity","Sweet corn, frozen","2021","422.87"
"Detailed trade matrix","United States of America","Poland","Import Quantity","Sweet corn, prepared or preserved","2021","7.36"
"Detailed trade matrix","United States of America","Republic of Korea","Import Quantity","Maize (corn)","2021","0.34"
"Detailed trade matrix","United States of America","Republic of Korea","Import Quantity","Sweet corn, frozen","2021","25.88"
"Detailed trade matrix","United States of America","Republic of Korea","Import Quantity","Sweet corn, prepared or preserved","2021","4.34"
"Detailed trade matrix","United States of America","South Africa","Import Quantity","Maize (corn)","2021","9.73"
"Detailed trade matrix","United States of America","Spain","Import Quantity","Maize (corn)","2021","5.55"
"Detailed trade matrix","United States of America","Spain","Import Quantity","Sweet corn, frozen","2021","146.32"
"Detailed trade matrix","United States of America","Spain","Import Quantity","Sweet corn, prepared or preserved","2021","109.74"
"Detailed trade matrix","United States of America","Sri Lanka","Import Quantity","Sweet corn, prepared or preserved","2021","12.96"
"Detailed trade matrix","United States of America","Thailand","Import Quantity","Sweet corn, frozen","2021","233.39"
"Detailed trade matrix","United States of America","Thailand","Import Quantity","Sweet corn, prepared or preserved","2021","21481.65"
"Detailed trade matrix","United States of America","Türkiye","Import Quantity","Maize (corn)","2021","5639.19"
"Detailed trade matrix","United States of America","Türkiye","Import Quantity","Sweet corn, frozen","2021","706.94"
"Detailed trade matrix","United States of America","Uganda","Import Quantity","Maize (corn)","2021","82.09"
"Detailed trade matrix","United States of America","Ukraine","Import Quantity","Maize (corn)","2021","2.99"
"Detailed trade matrix","United States of America","United Arab Emirates","Import Quantity","Sweet corn, prepared or preserved","2021","11.93"
"Detailed trade matrix","United States of America","United Kingdom of Great Britain and Northern Ireland","Import Quantity","Maize (corn)","2021","78.91"
"Detailed trade matrix","United States of America","Uruguay","Import Quantity","Maize (corn)","2021","1.18"
"Detailed trade matrix","United States of America","Viet Nam","Import Quantity","Maize (corn)","2021","51.23"
"Detailed trade matrix","United States of America","Viet Nam","Import Quantity","Sweet corn, frozen","2021","2196.63"
"Detailed trade matrix","United States of America","Viet Nam","Import Quantity","Sweet corn, prepared or preserved","2021","1288.64"
"Detailed trade matrix","United States of America","Zimbabwe","Import Quantity","Maize (corn)","2021","2.62"
