Domain,Reporter Countries,Partner Countries,Element,Item,Year,Value
"Detailed trade matrix","United States of America","Argentina","Import Value","Maize (corn)","2020","91679"
"Detailed trade matrix","United States of America","Austria","Import Value","Maize (corn)","2020","750"
"Detailed trade matrix","United States of America","Austria","Import Value","Sweet corn, frozen","2020","33"
"Detailed trade matrix","United States of America","Belgium","Import Value","Sweet corn, frozen","2020","43"
"Detailed trade matrix","United States of America","Bolivia (Plurinational State of)","Import Value","Maize (corn)","2020","39"
"Detailed trade matrix","United States of America","Brazil","Import Value","Maize (corn)","2020","14956"
"Detailed trade matrix","United States of America","Brazil","Import Value","Sweet corn, prepared or preserved","2020","37"
"Detailed trade matrix","United States of America","Canada","Import Value","Green corn (maize)","2020","3015"
"Detailed trade matrix","United States of America","Canada","Import Value","Maize (corn)","2020","110531"
"Detailed trade matrix","United States of America","Canada","Import Value","Sweet corn, frozen","2020","22594"
"Detailed trade matrix","United States of America","Canada","Import Value","Sweet corn, prepared or preserved","2020","1340"
"Detailed trade matrix","United States of America","Chile","Import Value","Maize (corn)","2020","72048"
"Detailed trade matrix","United States of America","China, Macao SAR","Import Value","Maize (corn)","2020","10"
"Detailed trade matrix","United States of America","China, mainland","Import Value","Green corn (maize)","2020","84"
"Detailed trade matrix","United States of America","China, mainland","Import Value","Maize (corn)","2020","154"
"Detailed trade matrix","United States of America","China, mainland","Import Value","Sweet corn, frozen","2020","3807"
"Detailed trade matrix","United States of America","China, mainland","Import Value","Sweet corn, prepared or preserved","2020","4458"
"Detailed trade matrix","United States of America","China, Taiwan Province of","Import Value","Maize (corn)","2020","172"
"Detailed trade matrix","United States of America","China, Taiwan Province of","Import Value","Sweet corn, frozen","2020","5"
"Detailed trade matrix","United States of America","Colombia","Import Value","Maize (corn)","2020","64"
"Detailed trade matrix","United States of America","Colombia","Import Value","Sweet corn, frozen","2020","5"
"Detailed trade matrix","United States of America","Colombia","Import Value","Sweet corn, prepared or preserved","2020","27"
"Detailed trade matrix","United States of America","Costa Rica","Import Value","Sweet corn, frozen","2020","7"
"Detailed trade matrix","United States of America","Denmark","Import Value","Maize (corn)","2020","16"
"Detailed trade matrix","United States of America","Dominican Republic","Import Value","Maize (corn)","2020","8"
"Detailed trade matrix","United States of America","Dominican Republic","Import Value","Sweet corn, frozen","2020","4"
"Detailed trade matrix","United States of America","Egypt","Import Value","Maize (corn)","2020","16"
"Detailed trade matrix","United States of America","El Salvador","Import Value","Sweet corn, frozen","2020","903"
"Detailed trade matrix","United States of America","France","Import Value","Maize (corn)","2020","5837"
"Detailed trade matrix","United States of America","France","Import Value","Sweet corn, prepared or preserved","2020","412"
"Detailed trade matrix","United States of America","Germany","Import Value","Maize (corn)","2020","37"
"Detailed trade matrix","United States of America","Greece","Import Value","Sweet corn, frozen","2020","16"
"Detailed trade matrix","United States of America","Grenada","Import Value","Maize (corn)","2020","3"
"Detailed trade matrix","United States of America","Guatemala","Import Value","Green corn (maize)","2020","718"
"Detailed trade matrix","United States of America","Guatemala","Import Value","Maize (corn)","2020","19"
"Detailed trade matrix","United States of America","Guyana","Import Value","Maize (corn)","2020","3"
"Detailed trade matrix","United States of America","Honduras","Import Value","Maize (corn)","2020","33"
"Detailed trade matrix","United States of America","India","Import Value","Sweet corn, frozen","2020","472"
"Detailed trade matrix","United States of America","India","Import Value","Sweet corn, prepared or preserved","2020","24"
