Domain,Reporter Countries,Partner Countries,Element,Item,Year,Value
"Detailed trade matrix","United States of America","Argentina","Import Value","Maize (corn)","2021","93134"
"Detailed trade matrix","United States of America","Austria","Import Value","Maize (corn)","2021","375"
"Detailed trade matrix","United States of America","Bangladesh","Import Value","Sweet corn, frozen","2021","3"
"Detailed trade matrix","United States of America","Belgium","Import Value","Green corn (maize)","2021","26"
"Detailed trade matrix","United States of America","Belgium","Import Value","Sweet corn, frozen","2021","23"
"Detailed trade matrix","United States of America","Bolivia (Plurinational State of)","Import Value","Maize (corn)","2021","22"
"Detailed trade matrix","United States of America","Brazil","Import Value","Maize (corn)","2021","39146"
"Detailed trade matrix","United States of America","Brazil","Import Value","Sweet corn, prepared or preserved","2021","3046"
"Detailed trade matrix","United States of America","Canada","Import Value","Green corn (maize)","2021","3434"
"Detailed trade matrix","United States of America","Canada","Import Value","Maize (corn)","2021","125914"
"Detailed trade matrix","United States of America","Canada","Import Value","Sweet corn, frozen","2021","24597"
"Detailed trade matrix","United States of America","Canada","Import Value","Sweet corn, prepared or preserved","2021","1689"
"Detailed trade matrix","United States of America","Chile","Import Value","Maize (corn)","2021","61483"
"Detailed trade matrix","United States of America","China, mainland","Import Value","Maize (corn)","2021","154"
"Detailed trade matrix","United States of America","China, mainland","Import Value","Sweet corn, frozen","2021","4200"
"Detailed trade matrix","United States of America","China, mainland","Import Value","Sweet corn, prepared or preserved","2021","3925"
"Detailed trade matrix","United States of America","China, Taiwan Province of","Import Value","Maize (corn)","2021","291"
"Detailed trade matrix","United States of America","China, Taiwan Province of","Import Value","Sweet corn, frozen","2021","4"
"Detailed trade matrix","United States of America","Colombia","Import Value","Maize (corn)","2021","149"
"Detailed trade matrix","United States of America","Colombia","Import Value","Sweet corn, frozen","2021","7"
"Detailed trade matrix","United States of America","Costa Rica","Import Value","Sweet corn, frozen","2021","298"
"Detailed trade matrix","United States of America","Denmark","Import Value","Maize (corn)","2021","104"
"Detailed trade matrix","United States of America","Dominican Republic","Import Value","Green corn (maize)","2021","9"
"Detailed trade matrix","United States of America","Ecuador","Import Value","Maize (corn)","2021","23"
"Detailed trade matrix","United States of America","Egypt","Import Value","Sweet corn, frozen","2021","95"
"Detailed trade matrix","United States of America","Egypt","Import Value","Sweet corn, prepared or preserved","2021","650"
"Detailed trade matrix","United States of America","El Salvador","Import Value","Maize (corn)","2021","15"
"Detailed trade matrix","United States of America","El Salvador","Import Value","Sweet corn, frozen","2021","1045"
"Detailed trade matrix","United States of America","Ethiopia","Import Value","Sweet corn, prepared or preserved","2021","88"
"Detailed trade matrix","United States of America","France","Import Value","Maize (corn)","2021","4547"
"Detailed trade matrix","United States of America","Germany","Import Value","Maize (corn)","2021","328"
"Detailed trade matrix","United States of America","Ghana","Import Value","Maize (corn)","2021","25"
"Detailed trade matrix","United States of America","Greece","Import Value","Sweet corn, frozen","2021","31"
"Detailed trade matrix","United States of America","Guatemala","Import Value","Green corn (maize)","2021","1931"
"Detailed trade matrix","United States of America","Guatemala","Import Value","Maize (corn)","2021","54"
"Detailed trade matrix","United States of America","Guatemala","Import Value","Sweet corn, prepared or preserved","2021","18"
"Detailed trade matrix","United States of America","Guyana","Import Value","Maize (corn)","2021","5"
"Detailed trade matrix","United States of America","Honduras","Import Value","Maize (corn)","2021","81"
"Detailed trade matrix","United States of America","India","Import Value","Maize (corn)","2021","15"
"Detailed trade matrix","United States of America","India","Import Value","Sweet corn, frozen","2021","1328"
"Detailed trade matrix","United States of America","India","Import Value","Sweet corn, prepared or preserved","2021","56"
"Detailed trade matrix","United States of America","Israel","Import Value","Sweet corn, prepared or preserved","2021","27"
"Detailed trade matrix","United States of America","Italy","Import Value","Sweet corn, prepared or preserved","2021","1170"
"Detailed trade matrix","United States of America","Japan","Import Value","Sweet corn, prepared or preserved","2021","19"
"Detailed trade matrix","United States of America","Mexico","Import Value","Green corn (maize)","2021","74989"
"Detailed trade matrix","United States of America","Mexico","Import Value","Maize (corn)","2021","10880"
"Detailed trade matrix","United States of America","Mexico","Import Value","Sweet corn, frozen","2021","9593"
"Detailed trade matrix","United States of America","Mexico","Import Value","Sweet corn, prepared or preserved","2021","16"
"Detailed trade matrix","United States of America","New Zealand","Import Value","Maize (corn)","2021","27"
"Detailed trade matrix","United States of America","Nigeria","Import Value","Maize (corn)","2021","7"
"Detailed trade matrix","United States of America","Pakistan","Import Value","Maize (corn)","2021","14"
"Detailed trade matrix","United States of America","Pakistan","Import Value","Sweet corn, prepared or preserved","2021","9"
"Detailed trade matrix","United States of America","Panama","Import Value","Maize (corn)","2021","3"
"Detailed trade matrix","United States of America","Peru","Import Value","Maize (corn)","2021","4038"
"Detailed trade matrix","United States of America","Peru","Import Value","Sweet corn, frozen","2021","7271"
"Detailed trade matrix","United States of America","Peru","Import Value","Sweet corn, prepared or preserved","2021","59"
"Detailed trade matrix","United States of America","Philippines","Import Value","Sweet corn, frozen","2021","11"
"Detailed trade matrix","United States of America","Philippines","Import Value","Sweet corn, prepared or preserved","2021","39"
"Detailed trade matrix","United States of America","Poland","Import Value","Sweet corn, frozen","2021","460"
"Detailed trade matrix","United States of America","Poland","Import Value","Sweet corn, prepared or preserved","2021","13"
"Detailed trade matrix","United States of America","Republic of Korea","Import Value","Maize (corn)","2021","3"
"Detailed trade matrix","United States of America","Republic of Korea","Import Value","Sweet corn, frozen","2021","102"
"Detailed trade matrix","United States of America","Republic of Korea","Import Value","Sweet corn, prepared or preserved","2021","25"
"Detailed trade matrix","United States of America","South Africa","Import Value","Maize (corn)","2021","25"
"Detailed trade matrix","United States of America","Spain","Import Value","Maize (corn)","2021","38"
"Detailed trade matrix","United States of America","Spain","Import Value","Sweet corn, frozen","2021","287"
"Detailed trade matrix","United States of America","Spain","Import Value","Sweet corn, prepared or preserved","2021","247"
"Detailed trade matrix","United States of America","Sri Lanka","Import Value","Sweet corn, prepared or preserved","2021","28"
"Detailed trade matrix","United States of America","Thailand","Import Value","Sweet corn, frozen","2021","438"
"Detailed trade matrix","United States of America","Thailand","Import Value","Sweet corn, prepared or preserved","2021","23763"
"Detailed trade matrix","United States of America","Türkiye","Import Value","Maize (corn)","2021","2316"
"Detailed trade matrix","United States of America","Türkiye","Import Value","Sweet corn, frozen","2021","796"
"Detailed trade matrix","United States of America","Uganda","Import Value","Maize (corn)","2021","133"
"Detailed trade matrix","United States of America","Ukraine","Import Value","Maize (corn)","2021","9"
"Detailed trade matrix","United States of America","United Arab Emirates","Import Value","Sweet corn, prepared or preserved","2021","17"
"Detailed trade matrix","United States of America","United Kingdom of Great Britain and Northern Ireland","Import Value","Maize (corn)","2021","160"
"Detailed trade matrix","United States of America","Uruguay","Import Value","Maize (corn)","2021","12"
"Detailed trade matrix","United States of America","Viet Nam","Import Value","Maize (corn)","2021","90"
"Detailed trade matrix","United States of America","Viet Nam","Import Value","Sweet corn, frozen","2021","3141"
"Detailed trade matrix","United States of America","Viet Nam","Import Value","Sweet corn, prepared or preserved","2021","1302"
"Detailed trade matrix","United States of America","Zimbabwe","Import Value","Maize (corn)","2021","3"
