Domain,Reporter Countries,Partner Countries,Element,Item,Year,Value
"Detailed trade matrix","United States of America","Argentina","Import Quantity","Rice","2021","5.66"
"Detailed trade matrix","United States of America","Argentina","Import Quantity","Rice, broken","2021","57"
"Detailed trade matrix","United States of America","Argentina","Import Quantity","Rice, milled","2021","10720.37"
"Detailed trade matrix","United States of America","Australia","Import Quantity","Rice, milled","2021","94.31"
"Detailed trade matrix","United States of America","Bangladesh","Import Quantity","Rice, broken","2021","3.73"
"Detailed trade matrix","United States of America","Bangladesh","Import Quantity","Rice, milled","2021","2037.66"
"Detailed trade matrix","United States of America","Belgium","Import Quantity","Rice, milled","2021","189.94"
"Detailed trade matrix","United States of America","Brazil","Import Quantity","Rice, broken","2021","27717.65"
"Detailed trade matrix","United States of America","Brazil","Import Quantity","Rice, milled","2021","11421.89"
"Detailed trade matrix","United States of America","Cambodia","Import Quantity","Rice, milled","2021","548.28"
"Detailed trade matrix","United States of America","Canada","Import Quantity","Rice","2021","20.45"
"Detailed trade matrix","United States of America","Canada","Import Quantity","Rice, broken","2021","749.84"
"Detailed trade matrix","United States of America","Canada","Import Quantity","Rice, milled","2021","8010.12"
"Detailed trade matrix","United States of America","China, Hong Kong SAR","Import Quantity","Rice, milled","2021","688.42"
"Detailed trade matrix","United States of America","China, mainland","Import Quantity","Rice","2021","61.9"
"Detailed trade matrix","United States of America","China, mainland","Import Quantity","Rice, broken","2021","7.5"
"Detailed trade matrix","United States of America","China, mainland","Import Quantity","Rice, milled","2021","64838.84"
"Detailed trade matrix","United States of America","China, Taiwan Province of","Import Quantity","Rice, milled","2021","1603.21"
"Detailed trade matrix","United States of America","Czechia","Import Quantity","Rice, milled","2021","3.56"
"Detailed trade matrix","United States of America","Ecuador","Import Quantity","Rice, milled","2021","73.77"
"Detailed trade matrix","United States of America","El Salvador","Import Quantity","Rice, milled","2021","60.95"
"Detailed trade matrix","United States of America","France","Import Quantity","Rice, milled","2021","0.14"
"Detailed trade matrix","United States of America","Greece","Import Quantity","Rice, milled","2021","52"
"Detailed trade matrix","United States of America","Guatemala","Import Quantity","Rice, milled","2021","113.69"
"Detailed trade matrix","United States of America","Guyana","Import Quantity","Rice, milled","2021","2499.79"
"Detailed trade matrix","United States of America","Haiti","Import Quantity","Rice, broken","2021","29.86"
"Detailed trade matrix","United States of America","Haiti","Import Quantity","Rice, milled","2021","26.26"
"Detailed trade matrix","United States of America","India","Import Quantity","Rice","2021","11.54"
"Detailed trade matrix","United States of America","India","Import Quantity","Rice, broken","2021","230.27"
"Detailed trade matrix","United States of America","India","Import Quantity","Rice, milled","2021","191522.61"
"Detailed trade matrix","United States of America","Indonesia","Import Quantity","Rice, milled","2021","20"
"Detailed trade matrix","United States of America","Israel","Import Quantity","Rice, milled","2021","13.25"
"Detailed trade matrix","United States of America","Italy","Import Quantity","Rice, milled","2021","7892.69"
"Detailed trade matrix","United States of America","Japan","Import Quantity","Rice, broken","2021","142.94"
"Detailed trade matrix","United States of America","Japan","Import Quantity","Rice, milled","2021","1861.61"
"Detailed trade matrix","United States of America","Jordan","Import Quantity","Rice, milled","2021","8.64"
"Detailed trade matrix","United States of America","Kazakhstan","Import Quantity","Rice, milled","2021","17.96"
"Detailed trade matrix","United States of America","Lebanon","Import Quantity","Rice, milled","2021","135.58"
"Detailed trade matrix","United States of America","Mexico","Import Quantity","Rice, milled","2021","2701.78"
"Detailed trade matrix","United States of America","Myanmar","Import Quantity","Rice, milled","2021","2.27"
"Detailed trade matrix","United States of America","Nepal","Import Quantity","Rice, milled","2021","7.44"
"Detailed trade matrix","United States of America","Netherlands (Kingdom of the)","Import Quantity","Rice, milled","2021","817.04"
"Detailed trade matrix","United States of America","Nicaragua","Import Quantity","Rice, milled","2021","19.96"
"Detailed trade matrix","United States of America","Nigeria","Import Quantity","Rice, milled","2021","9.57"
"Detailed trade matrix","United States of America","Pakistan","Import Quantity","Rice, broken","2021","19"
"Detailed trade matrix","United States of America","Pakistan","Import Quantity","Rice, milled","2021","19823.01"
"Detailed trade matrix","United States of America","Paraguay","Import Quantity","Rice, milled","2021","78.24"
"Detailed trade matrix","United States of America","Peru","Import Quantity","Rice, milled","2021","6.12"
"Detailed trade matrix","United States of America","Philippines","Import Quantity","Rice, milled","2021","3"
"Detailed trade matrix","United States of America","Poland","Import Quantity","Rice, milled","2021","11.41"
"Detailed trade matrix","United States of America","Portugal","Import Quantity","Rice, milled","2021","2.5"
