Domain,Reporter Countries,Partner Countries,Element,Item,Year,Value
"Detailed trade matrix","United States of America","Argentina","Import Value","Rice, broken","2020","262"
"Detailed trade matrix","United States of America","Argentina","Import Value","Rice, milled","2020","9057"
"Detailed trade matrix","United States of America","Australia","Import Value","Rice, milled","2020","516"
"Detailed trade matrix","United States of America","Bangladesh","Import Value","Rice, broken","2020","4"
"Detailed trade matrix","United States of America","Bangladesh","Import Value","Rice, milled","2020","3382"
"Detailed trade matrix","United States of America","Belgium","Import Value","Rice, milled","2020","559"
"Detailed trade matrix","United States of America","Bosnia and Herzegovina","Import Value","Rice, milled","2020","9"
"Detailed trade matrix","United States of America","Brazil","Import Value","Rice, broken","2020","9469"
"Detailed trade matrix","United States of America","Brazil","Import Value","Rice, milled","2020","31406"
"Detailed trade matrix","United States of America","Cambodia","Import Value","Rice, milled","2020","3338"
"Detailed trade matrix","United States of America","Canada","Import Value","Rice","2020","76"
"Detailed trade matrix","United States of America","Canada","Import Value","Rice, broken","2020","149"
"Detailed trade matrix","United States of America","Canada","Import Value","Rice, milled","2020","11629"
"Detailed trade matrix","United States of America","China, Hong Kong SAR","Import Value","Rice, milled","2020","1236"
"Detailed trade matrix","United States of America","China, mainland","Import Value","Rice, broken","2020","12"
"Detailed trade matrix","United States of America","China, mainland","Import Value","Rice, milled","2020","24348"
"Detailed trade matrix","United States of America","China, Taiwan Province of","Import Value","Rice, broken","2020","2"
"Detailed trade matrix","United States of America","China, Taiwan Province of","Import Value","Rice, milled","2020","1686"
"Detailed trade matrix","United States of America","Czechia","Import Value","Rice, milled","2020","4"
"Detailed trade matrix","United States of America","Ecuador","Import Value","Rice, milled","2020","15"
"Detailed trade matrix","United States of America","El Salvador","Import Value","Rice, milled","2020","85"
"Detailed trade matrix","United States of America","France","Import Value","Rice, milled","2020","223"
"Detailed trade matrix","United States of America","Greece","Import Value","Rice, milled","2020","61"
"Detailed trade matrix","United States of America","Guatemala","Import Value","Rice, milled","2020","221"
"Detailed trade matrix","United States of America","Guyana","Import Value","Rice, milled","2020","1705"
"Detailed trade matrix","United States of America","Haiti","Import Value","Rice, broken","2020","37"
"Detailed trade matrix","United States of America","Haiti","Import Value","Rice, milled","2020","15"
"Detailed trade matrix","United States of America","India","Import Value","Rice","2020","6"
"Detailed trade matrix","United States of America","India","Import Value","Rice, broken","2020","289"
"Detailed trade matrix","United States of America","India","Import Value","Rice, milled","2020","268406"
"Detailed trade matrix","United States of America","Indonesia","Import Value","Rice, milled","2020","154"
"Detailed trade matrix","United States of America","Israel","Import Value","Rice, milled","2020","39"
"Detailed trade matrix","United States of America","Italy","Import Value","Rice, milled","2020","18489"
"Detailed trade matrix","United States of America","Japan","Import Value","Rice, broken","2020","292"
"Detailed trade matrix","United States of America","Japan","Import Value","Rice, milled","2020","4582"
"Detailed trade matrix","United States of America","Jordan","Import Value","Rice","2020","19"
"Detailed trade matrix","United States of America","Jordan","Import Value","Rice, milled","2020","19"
"Detailed trade matrix","United States of America","Kenya","Import Value","Rice, milled","2020","4"
"Detailed trade matrix","United States of America","Kyrgyzstan","Import Value","Rice, milled","2020","85"
"Detailed trade matrix","United States of America","Lao People's Democratic Republic","Import Value","Rice, milled","2020","30"
"Detailed trade matrix","United States of America","Lebanon","Import Value","Rice, milled","2020","202"
"Detailed trade matrix","United States of America","Malaysia","Import Value","Rice, milled","2020","25"
"Detailed trade matrix","United States of America","Mexico","Import Value","Rice, broken","2020","1219"
"Detailed trade matrix","United States of America","Mexico","Import Value","Rice, milled","2020","2427"
"Detailed trade matrix","United States of America","Myanmar","Import Value","Rice, milled","2020","47"
"Detailed trade matrix","United States of America","Nigeria","Import Value","Rice, milled","2020","8"
"Detailed trade matrix","United States of America","North Macedonia","Import Value","Rice, milled","2020","52"
"Detailed trade matrix","United States of America","Pakistan","Import Value","Rice, broken","2020","216"
"Detailed trade matrix","United States of America","Pakistan","Import Value","Rice, milled","2020","47303"
"Detailed trade matrix","United States of America","Paraguay","Import Value","Rice, milled","2020","505"
"Detailed trade matrix","United States of America","Peru","Import Value","Rice, milled","2020","9"
"Detailed trade matrix","United States of America","Philippines","Import Value","Rice, milled","2020","59"
"Detailed trade matrix","United States of America","Poland","Import Value","Rice, milled","2020","39"
"Detailed trade matrix","United States of America","Portugal","Import Value","Rice, milled","2020","173"
"Detailed trade matrix","United States of America","Republic of Korea","Import Value","Rice, broken","2020","3"
"Detailed trade matrix","United States of America","Republic of Korea","Import Value","Rice, milled","2020","1468"
"Detailed trade matrix","United States of America","Russian Federation","Import Value","Rice, milled","2020","25"
"Detailed trade matrix","United States of America","Serbia","Import Value","Rice, milled","2020","11"
"Detailed trade matrix","United States of America","Singapore","Import Value","Rice, milled","2020","85"
"Detailed trade matrix","United States of America","Spain","Import Value","Rice, milled","2020","6681"
"Detailed trade matrix","United States of America","Sri Lanka","Import Value","Rice, broken","2020","4"
"Detailed trade matrix","United States of America","Sri Lanka","Import Value","Rice, milled","2020","376"
"Detailed trade matrix","United States of America","Thailand","Import Value","Rice, broken","2020","8238"
"Detailed trade matrix","United States of America","Thailand","Import Value","Rice, milled","2020","735896"
"Detailed trade matrix","United States of America","Türkiye","Import Value","Rice, milled","2020","1177"
"Detailed trade matrix","United States of America","Ukraine","Import Value","Rice, milled","2020","3"
"Detailed trade matrix","United States of America","United Arab Emirates","Import Value","Rice, milled","2020","115"
"Detailed trade matrix","United States of America","United Kingdom of Great Britain and Northern Ireland","Import Value","Rice, broken","2020","38"
"Detailed trade matrix","United States of America","United Kingdom of Great Britain and Northern Ireland","Import Value","Rice, milled","2020","444"
"Detailed trade matrix","United States of America","Uruguay","Import Value","Rice, broken","2020","635"
"Detailed trade matrix","United States of America","Uruguay","Import Value","Rice, milled","2020","5650"
"Detailed trade matrix","United States of America","Uzbekistan","Import Value","Rice, milled","2020","220"
"Detailed trade matrix","United States of America","Viet Nam","Import Value","Rice, broken","2020","2511"
"Detailed trade matrix","United States of America","Viet Nam","Import Value","Rice, milled","2020","11419"
