Domain,Reporter Countries,Partner Countries,Element,Item,Year,Value
"Detailed trade matrix","United States of America","Argentina","Import Quantity","Maize (corn)","2020","219388.94"
"Detailed trade matrix","United States of America","Austria","Import Quantity","Maize (corn)","2020","21.62"
"Detailed trade matrix","United States of America","Austria","Import Quantity","Sweet corn, frozen","2020","21.12"
"Detailed trade matrix","United States of America","Belgium","Import Quantity","Sweet corn, frozen","2020","18.68"
"Detailed trade matrix","United States of America","Bolivia (Plurinational State of)","Import Quantity","Maize (corn)","2020","12.66"
"Detailed trade matrix","United States of America","Brazil","Import Quantity","Maize (corn)","2020","70181.99"
"Detailed trade matrix","United States of America","Brazil","Import Quantity","Sweet corn, prepared or preserved","2020","22.78"
"Detailed trade matrix","United States of America","Canada","Import Quantity","Green corn (maize)","2020","3294.26"
"Detailed trade matrix","United States of America","Canada","Import Quantity","Maize (corn)","2020","296995.85"
"Detailed trade matrix","United States of America","Canada","Import Quantity","Sweet corn, frozen","2020","20030.52"
"Detailed trade matrix","United States of America","Canada","Import Quantity","Sweet corn, prepared or preserved","2020","1121.13"
"Detailed trade matrix","United States of America","Chile","Import Quantity","Maize (corn)","2020","15854.8"
"Detailed trade matrix","United States of America","China, Macao SAR","Import Quantity","Maize (corn)","2020","19.52"
"Detailed trade matrix","United States of America","China, mainland","Import Quantity","Green corn (maize)","2020","67.72"
"Detailed trade matrix","United States of America","China, mainland","Import Quantity","Maize (corn)","2020","115.64"
"Detailed trade matrix","United States of America","China, mainland","Import Quantity","Sweet corn, frozen","2020","2989.95"
"Detailed trade matrix","United States of America","China, mainland","Import Quantity","Sweet corn, prepared or preserved","2020","5739.25"
"Detailed trade matrix","United States of America","China, Taiwan Province of","Import Quantity","Maize (corn)","2020","16.54"
"Detailed trade matrix","United States of America","China, Taiwan Province of","Import Quantity","Sweet corn, frozen","2020","0.29"
"Detailed trade matrix","United States of America","Colombia","Import Quantity","Maize (corn)","2020","86.5"
"Detailed trade matrix","United States of America","Colombia","Import Quantity","Sweet corn, frozen","2020","4.02"
"Detailed trade matrix","United States of America","Colombia","Import Quantity","Sweet corn, prepared or preserved","2020","10.71"
"Detailed trade matrix","United States of America","Costa Rica","Import Quantity","Sweet corn, frozen","2020","6.16"
"Detailed trade matrix","United States of America","Denmark","Import Quantity","Maize (corn)","2020","2.96"
"Detailed trade matrix","United States of America","Dominican Republic","Import Quantity","Maize (corn)","2020","2.62"
"Detailed trade matrix","United States of America","Dominican Republic","Import Quantity","Sweet corn, frozen","2020","6.88"
"Detailed trade matrix","United States of America","Egypt","Import Quantity","Maize (corn)","2020","2.89"
"Detailed trade matrix","United States of America","El Salvador","Import Quantity","Sweet corn, frozen","2020","392.01"
"Detailed trade matrix","United States of America","France","Import Quantity","Maize (corn)","2020","574.23"
"Detailed trade matrix","United States of America","France","Import Quantity","Sweet corn, prepared or preserved","2020","271.71"
"Detailed trade matrix","United States of America","Germany","Import Quantity","Maize (corn)","2020","2.78"
"Detailed trade matrix","United States of America","Greece","Import Quantity","Sweet corn, frozen","2020","20.86"
"Detailed trade matrix","United States of America","Grenada","Import Quantity","Maize (corn)","2020","0.12"
"Detailed trade matrix","United States of America","Guatemala","Import Quantity","Green corn (maize)","2020","226.37"
"Detailed trade matrix","United States of America","Guatemala","Import Quantity","Maize (corn)","2020","6.17"
"Detailed trade matrix","United States of America","Guyana","Import Quantity","Maize (corn)","2020","1.91"
"Detailed trade matrix","United States of America","Honduras","Import Quantity","Maize (corn)","2020","20.96"
"Detailed trade matrix","United States of America","India","Import Quantity","Sweet corn, frozen","2020","481.46"
"Detailed trade matrix","United States of America","India","Import Quantity","Sweet corn, prepared or preserved","2020","18.9"
"Detailed trade matrix","United States of America","Israel","Import Quantity","Sweet corn, prepared or preserved","2020","12.31"
"Detailed trade matrix","United States of America","Italy","Import Quantity","Maize (corn)","2020","0.32"
"Detailed trade matrix","United States of America","Japan","Import Quantity","Sweet corn, prepared or preserved","2020","0.4"
"Detailed trade matrix","United States of America","Mexico","Import Quantity","Green corn (maize)","2020","68881.3"
"Detailed trade matrix","United States of America","Mexico","Import Quantity","Maize (corn)","2020","43415.93"
"Detailed trade matrix","United States of America","Mexico","Import Quantity","Sweet corn, frozen","2020","1983.65"
"Detailed trade matrix","United States of America","Mexico","Import Quantity","Sweet corn, prepared or preserved","2020","6.54"
"Detailed trade matrix","United States of America","Netherlands (Kingdom of the)","Import Quantity","Maize (corn)","2020","4.58"
"Detailed trade matrix","United States of America","New Zealand","Import Quantity","Maize (corn)","2020","28.45"
"Detailed trade matrix","United States of America","Nigeria","Import Quantity","Maize (corn)","2020","1"
"Detailed trade matrix","United States of America","Peru","Import Quantity","Maize (corn)","2020","1104.61"
"Detailed trade matrix","United States of America","Peru","Import Quantity","Sweet corn, frozen","2020","3548.08"
"Detailed trade matrix","United States of America","Peru","Import Quantity","Sweet corn, prepared or preserved","2020","24.35"
"Detailed trade matrix","United States of America","Philippines","Import Quantity","Sweet corn, prepared or preserved","2020","3.03"
"Detailed trade matrix","United States of America","Poland","Import Quantity","Sweet corn, frozen","2020","471.25"
"Detailed trade matrix","United States of America","Poland","Import Quantity","Sweet corn, prepared or preserved","2020","4.21"
"Detailed trade matrix","United States of America","Portugal","Import Quantity","Sweet corn, frozen","2020","20.83"
"Detailed trade matrix","United States of America","Republic of Korea","Import Quantity","Sweet corn, frozen","2020","14.06"
"Detailed trade matrix","United States of America","Republic of Korea","Import Quantity","Sweet corn, prepared or preserved","2020","1.62"
"Detailed trade matrix","United States of America","Romania","Import Quantity","Maize (corn)","2020","46575.2"
"Detailed trade matrix","United States of America","Saudi Arabia","Import Quantity","Maize (corn)","2020","0.48"
"Detailed trade matrix","United States of America","Spain","Import Quantity","Maize (corn)","2020","3.85"
"Detailed trade matrix","United States of America","Spain","Import Quantity","Sweet corn, frozen","2020","3.24"
"Detailed trade matrix","United States of America","Spain","Import Quantity","Sweet corn, prepared or preserved","2020","333.5"
"Detailed trade matrix","United States of America","Thailand","Import Quantity","Sweet corn, frozen","2020","302.36"
"Detailed trade matrix","United States of America","Thailand","Import Quantity","Sweet corn, prepared or preserved","2020","12219.2"
"Detailed trade matrix","United States of America","Türkiye","Import Quantity","Maize (corn)","2020","1878.54"
"Detailed trade matrix","United States of America","Türkiye","Import Quantity","Sweet corn, frozen","2020","556.29"
"Detailed trade matrix","United States of America","Uganda","Import Quantity","Sweet corn, frozen","2020","1.28"
"Detailed trade matrix","United States of America","United Arab Emirates","Import Quantity","Green corn (maize)","2020","3"
"Detailed trade matrix","United States of America","United Arab Emirates","Import Quantity","Sweet corn, prepared or preserved","2020","11.81"
"Detailed trade matrix","United States of America","United Kingdom of Great Britain and Northern Ireland","Import Quantity","Maize (corn)","2020","19.69"
"Detailed trade matrix","United States of America","Uruguay","Import Quantity","Maize (corn)","2020","339.26"
"Detailed trade matrix","United States of America","Viet Nam","Import Quantity","Maize (corn)","2020","28.23"
"Detailed trade matrix","United States of America","Viet Nam","Import Quantity","Sweet corn, frozen","2020","2283.68"
"Detailed trade matrix","United States of America","Viet Nam","Import Quantity","Sweet corn, prepared or preserved","2020","768.26"
