Domain,Reporter Countries,Partner Countries,Element,Item,Year,Value
"Detailed trade matrix","United States of America","Argentina","Import Quantity","Rice, broken","2022","187.04"
"Detailed trade matrix","United States of America","Argentina","Import Quantity","Rice, milled","2022","13451.83"
"Detailed trade matrix","United States of America","Australia","Import Quantity","Rice, milled","2022","17403.22"
"Detailed trade matrix","United States of America","Bangladesh","Import Quantity","Rice, broken","2022","4.51"
"Detailed trade matrix","United States of America","Bangladesh","Import Quantity","Rice, milled","2022","1825.96"
"Detailed trade matrix","United States of America","Belgium","Import Quantity","Rice, milled","2022","345.5"
"Detailed trade matrix","United States of America","Bosnia and Herzegovina","Import Quantity","Rice, milled","2022","7"
"Detailed trade matrix","United States of America","Brazil","Import Quantity","Rice, broken","2022","32677.6"
"Detailed trade matrix","United States of America","Brazil","Import Quantity","Rice, milled","2022","10571.89"
"Detailed trade matrix","United States of America","Cambodia","Import Quantity","Rice, milled","2022","1450.55"
"Detailed trade matrix","United States of America","Canada","Import Quantity","Rice","2022","479.46"
"Detailed trade matrix","United States of America","Canada","Import Quantity","Rice, broken","2022","146.4"
"Detailed trade matrix","United States of America","Canada","Import Quantity","Rice, milled","2022","8520.85"
"Detailed trade matrix","United States of America","China, Hong Kong SAR","Import Quantity","Rice, milled","2022","780.32"
"Detailed trade matrix","United States of America","China, mainland","Import Quantity","Rice","2022","49.01"
"Detailed trade matrix","United States of America","China, mainland","Import Quantity","Rice, broken","2022","7.5"
"Detailed trade matrix","United States of America","China, mainland","Import Quantity","Rice, milled","2022","85813.68"
"Detailed trade matrix","United States of America","China, Taiwan Province of","Import Quantity","Rice, milled","2022","545.94"
"Detailed trade matrix","United States of America","Ecuador","Import Quantity","Rice, milled","2022","4.99"
"Detailed trade matrix","United States of America","Egypt","Import Quantity","Rice, milled","2022","27"
"Detailed trade matrix","United States of America","El Salvador","Import Quantity","Rice, milled","2022","67.93"
"Detailed trade matrix","United States of America","Greece","Import Quantity","Rice, milled","2022","59.1"
"Detailed trade matrix","United States of America","Guatemala","Import Quantity","Rice, milled","2022","185.27"
"Detailed trade matrix","United States of America","Guyana","Import Quantity","Rice, milled","2022","724.31"
"Detailed trade matrix","United States of America","Haiti","Import Quantity","Rice, broken","2022","62.25"
"Detailed trade matrix","United States of America","Haiti","Import Quantity","Rice, milled","2022","69.84"
