Domain,Reporter Countries,Partner Countries,Element,Item,Year,Value
"Detailed trade matrix","United States of America","Argentina","Import Value","Rice, broken","2022","256"
"Detailed trade matrix","United States of America","Argentina","Import Value","Rice, milled","2022","13551"
"Detailed trade matrix","United States of America","Australia","Import Value","Rice, milled","2022","20576"
"Detailed trade matrix","United States of America","Bangladesh","Import Value","Rice, broken","2022","3"
"Detailed trade matrix","United States of America","Bangladesh","Import Value","Rice, milled","2022","3253"
"Detailed trade matrix","United States of America","Belgium","Import Value","Rice, milled","2022","647"
"Detailed trade matrix","United States of America","Bosnia and Herzegovina","Import Value","Rice, milled","2022","14"
"Detailed trade matrix","United States of America","Brazil","Import Value","Rice, broken","2022","13898"
"Detailed trade matrix","United States of America","Brazil","Import Value","Rice, milled","2022","10370"
"Detailed trade matrix","United States of America","Cambodia","Import Value","Rice, milled","2022","1862"
"Detailed trade matrix","United States of America","Canada","Import Value","Rice","2022","283"
"Detailed trade matrix","United States of America","Canada","Import Value","Rice, broken","2022","101"
"Detailed trade matrix","United States of America","Canada","Import Value","Rice, milled","2022","14755"
"Detailed trade matrix","United States of America","China, Hong Kong SAR","Import Value","Rice, milled","2022","1743"
"Detailed trade matrix","United States of America","China, mainland","Import Value","Rice","2022","30"
"Detailed trade matrix","United States of America","China, mainland","Import Value","Rice, broken","2022","8"
"Detailed trade matrix","United States of America","China, mainland","Import Value","Rice, milled","2022","33261"
"Detailed trade matrix","United States of America","China, Taiwan Province of","Import Value","Rice, milled","2022","789"
"Detailed trade matrix","United States of America","Ecuador","Import Value","Rice, milled","2022","4"
"Detailed trade matrix","United States of America","Egypt","Import Value","Rice, milled","2022","34"
"Detailed trade matrix","United States of America","El Salvador","Import Value","Rice, milled","2022","96"
"Detailed trade matrix","United States of America","Greece","Import Value","Rice, milled","2022","73"
"Detailed trade matrix","United States of America","Guatemala","Import Value","Rice, milled","2022","350"
"Detailed trade matrix","United States of America","Guyana","Import Value","Rice, milled","2022","511"
"Detailed trade matrix","United States of America","Haiti","Import Value","Rice, broken","2022","62"
"Detailed trade matrix","United States of America","Haiti","Import Value","Rice, milled","2022","126"
"Detailed trade matrix","United States of America","Honduras","Import Value","Rice, milled","2022","11"
"Detailed trade matrix","United States of America","India","Import Value","Rice","2022","15"
"Detailed trade matrix","United States of America","India","Import Value","Rice, broken","2022","40"
"Detailed trade matrix","United States of America","India","Import Value","Rice, milled","2022","335852"
"Detailed trade matrix","United States of America","Indonesia","Import Value","Rice, milled","2022","46"
"Detailed trade matrix","United States of America","Iraq","Import Value","Rice, milled","2022","53"
"Detailed trade matrix","United States of America","Israel","Import Value","Rice, milled","2022","60"
"Detailed trade matrix","United States of America","Italy","Import Value","Rice, milled","2022","19013"
"Detailed trade matrix","United States of America","Japan","Import Value","Rice, broken","2022","547"
"Detailed trade matrix","United States of America","Japan","Import Value","Rice, milled","2022","8888"
"Detailed trade matrix","United States of America","Jordan","Import Value","Rice, milled","2022","25"
"Detailed trade matrix","United States of America","Kazakhstan","Import Value","Rice, milled","2022","104"
"Detailed trade matrix","United States of America","Kenya","Import Value","Rice, milled","2022","23"
"Detailed trade matrix","United States of America","Latvia","Import Value","Rice, milled","2022","4"
"Detailed trade matrix","United States of America","Lebanon","Import Value","Rice, milled","2022","210"
"Detailed trade matrix","United States of America","Mexico","Import Value","Rice, milled","2022","2554"
"Detailed trade matrix","United States of America","Myanmar","Import Value","Rice, milled","2022","4"
"Detailed trade matrix","United States of America","Nepal","Import Value","Rice, milled","2022","15"
"Detailed trade matrix","United States of America","Netherlands (Kingdom of the)","Import Value","Rice, milled","2022","2307"
"Detailed trade matrix","United States of America","Nigeria","Import Value","Rice, milled","2022","6"
"Detailed trade matrix","United States of America","North Macedonia","Import Value","Rice, milled","2022","5"
"Detailed trade matrix","United States of America","Pakistan","Import Value","Rice, milled","2022","36316"
"Detailed trade matrix","United States of America","Paraguay","Import Value","Rice, milled","2022","22"
"Detailed trade matrix","United States of America","Peru","Import Value","Rice, milled","2022","369"
"Detailed trade matrix","United States of America","Philippines","Import Value","Rice, milled","2022","56"
"Detailed trade matrix","United States of America","Poland","Import Value","Rice, milled","2022","48"
"Detailed trade matrix","United States of America","Portugal","Import Value","Rice, milled","2022","279"
"Detailed trade matrix","United States of America","Republic of Korea","Import Value","Rice, milled","2022","3224"
"Detailed trade matrix","United States of America","Russian Federation","Import Value","Rice, milled","2022","28"
"Detailed trade matrix","United States of America","Serbia","Import Value","Rice, milled","2022","7"
"Detailed trade matrix","United States of America","South Africa","Import Value","Rice, milled","2022","2"
"Detailed trade matrix","United States of America","Spain","Import Value","Rice, milled","2022","15120"
"Detailed trade matrix","United States of America","Sri Lanka","Import Value","Rice, milled","2022","368"
"Detailed trade matrix","United States of America","Thailand","Import Value","Rice","2022","47"
"Detailed trade matrix","United States of America","Thailand","Import Value","Rice, broken","2022","17393"
"Detailed trade matrix","United States of America","Thailand","Import Value","Rice, milled","2022","762038"
"Detailed trade matrix","United States of America","Türkiye","Import Value","Rice, broken","2022","12"
"Detailed trade matrix","United States of America","Türkiye","Import Value","Rice, milled","2022","1408"
"Detailed trade matrix","United States of America","United Arab Emirates","Import Value","Rice, milled","2022","270"
"Detailed trade matrix","United States of America","United Kingdom of Great Britain and Northern Ireland","Import Value","Rice, broken","2022","280"
"Detailed trade matrix","United States of America","United Kingdom of Great Britain and Northern Ireland","Import Value","Rice, milled","2022","40"
"Detailed trade matrix","United States of America","United Republic of Tanzania","Import Value","Rice, milled","2022","5"
"Detailed trade matrix","United States of America","Uruguay","Import Value","Rice, milled","2022","3206"
"Detailed trade matrix","United States of America","Uzbekistan","Import Value","Rice, milled","2022","139"
"Detailed trade matrix","United States of America","Viet Nam","Import Value","Rice, broken","2022","4702"
"Detailed trade matrix","United States of America","Viet Nam","Import Value","Rice, milled","2022","18837"
