Domain,Reporter Countries,Partner Countries,Element,Item,Year,Value
"Detailed trade matrix","United States of America","Argentina","Import Value","Wheat","2020","4198"
"Detailed trade matrix","United States of America","Armenia","Import Value","Wheat","2020","12"
"Detailed trade matrix","United States of America","Canada","Import Value","Wheat","2020","443902"
"Detailed trade matrix","United States of America","Dominican Republic","Import Value","Wheat","2020","33"
"Detailed trade matrix","United States of America","France","Import Value","Wheat","2020","7663"
"Detailed trade matrix","United States of America","Germany","Import Value","Wheat","2020","51"
"Detailed trade matrix","United States of America","India","Import Value","Wheat","2020","9"
"Detailed trade matrix","United States of America","Israel","Import Value","Wheat","2020","20"
"Detailed trade matrix","United States of America","Italy","Import Value","Wheat","2020","740"
"Detailed trade matrix","United States of America","Jordan","Import Value","Wheat","2020","6"
"Detailed trade matrix","United States of America","Lebanon","Import Value","Wheat","2020","7"
"Detailed trade matrix","United States of America","Peru","Import Value","Wheat","2020","87"
"Detailed trade matrix","United States of America","Slovakia","Import Value","Wheat","2020","5"
"Detailed trade matrix","United States of America","Switzerland","Import Value","Wheat","2020","15"
"Detailed trade matrix","United States of America","Ukraine","Import Value","Wheat","2020","5"
"Detailed trade matrix","United States of America","United Kingdom of Great Britain and Northern Ireland","Import Value","Wheat","2020","11031"
