Domain,Reporter Countries,Partner Countries,Element,Item,Year,Value
"Detailed trade matrix","United States of America","Argentina","Import Quantity","Rice, broken","2020","304"
"Detailed trade matrix","United States of America","Argentina","Import Quantity","Rice, milled","2020","9685.04"
"Detailed trade matrix","United States of America","Australia","Import Quantity","Rice, milled","2020","283.46"
"Detailed trade matrix","United States of America","Bangladesh","Import Quantity","Rice, broken","2020","2.73"
"Detailed trade matrix","United States of America","Bangladesh","Import Quantity","Rice, milled","2020","2366.47"
"Detailed trade matrix","United States of America","Belgium","Import Quantity","Rice, milled","2020","328.23"
"Detailed trade matrix","United States of America","Bosnia and Herzegovina","Import Quantity","Rice, milled","2020","4.32"
"Detailed trade matrix","United States of America","Brazil","Import Quantity","Rice, broken","2020","27080"
"Detailed trade matrix","United States of America","Brazil","Import Quantity","Rice, milled","2020","53833.95"
"Detailed trade matrix","United States of America","Cambodia","Import Quantity","Rice, milled","2020","3402.88"
"Detailed trade matrix","United States of America","Canada","Import Quantity","Rice","2020","75.66"
"Detailed trade matrix","United States of America","Canada","Import Quantity","Rice, broken","2020","240.84"
"Detailed trade matrix","United States of America","Canada","Import Quantity","Rice, milled","2020","8324.52"
"Detailed trade matrix","United States of America","China, Hong Kong SAR","Import Quantity","Rice, milled","2020","616.32"
"Detailed trade matrix","United States of America","China, mainland","Import Quantity","Rice, broken","2020","8.6"
"Detailed trade matrix","United States of America","China, mainland","Import Quantity","Rice, milled","2020","65521.42"
"Detailed trade matrix","United States of America","China, Taiwan Province of","Import Quantity","Rice, broken","2020","0.14"
"Detailed trade matrix","United States of America","China, Taiwan Province of","Import Quantity","Rice, milled","2020","1827.34"
"Detailed trade matrix","United States of America","Czechia","Import Quantity","Rice, milled","2020","2"
"Detailed trade matrix","United States of America","Ecuador","Import Quantity","Rice, milled","2020","14.4"
"Detailed trade matrix","United States of America","El Salvador","Import Quantity","Rice, milled","2020","64.51"
"Detailed trade matrix","United States of America","France","Import Quantity","Rice, milled","2020","101.43"
"Detailed trade matrix","United States of America","Greece","Import Quantity","Rice, milled","2020","40.03"
"Detailed trade matrix","United States of America","Guatemala","Import Quantity","Rice, milled","2020","132.57"
"Detailed trade matrix","United States of America","Guyana","Import Quantity","Rice, milled","2020","3319.1"
"Detailed trade matrix","United States of America","Haiti","Import Quantity","Rice, broken","2020","28.15"
"Detailed trade matrix","United States of America","Haiti","Import Quantity","Rice, milled","2020","8.97"
"Detailed trade matrix","United States of America","India","Import Quantity","Rice","2020","4.43"
"Detailed trade matrix","United States of America","India","Import Quantity","Rice, broken","2020","521.52"
"Detailed trade matrix","United States of America","India","Import Quantity","Rice, milled","2020","232033.35"
"Detailed trade matrix","United States of America","Indonesia","Import Quantity","Rice, milled","2020","80.2"
"Detailed trade matrix","United States of America","Israel","Import Quantity","Rice, milled","2020","3.65"
"Detailed trade matrix","United States of America","Italy","Import Quantity","Rice, milled","2020","11087.93"
"Detailed trade matrix","United States of America","Japan","Import Quantity","Rice, broken","2020","90.99"
"Detailed trade matrix","United States of America","Japan","Import Quantity","Rice, milled","2020","1762.72"
"Detailed trade matrix","United States of America","Jordan","Import Quantity","Rice","2020","13.24"
"Detailed trade matrix","United States of America","Jordan","Import Quantity","Rice, milled","2020","10.95"
"Detailed trade matrix","United States of America","Kenya","Import Quantity","Rice, milled","2020","1.56"
"Detailed trade matrix","United States of America","Kyrgyzstan","Import Quantity","Rice, milled","2020","85.69"
"Detailed trade matrix","United States of America","Lao People's Democratic Republic","Import Quantity","Rice, milled","2020","20.87"
"Detailed trade matrix","United States of America","Lebanon","Import Quantity","Rice, milled","2020","267.65"
"Detailed trade matrix","United States of America","Malaysia","Import Quantity","Rice, milled","2020","21.34"
"Detailed trade matrix","United States of America","Mexico","Import Quantity","Rice, broken","2020","3172.11"
"Detailed trade matrix","United States of America","Mexico","Import Quantity","Rice, milled","2020","2471.39"
"Detailed trade matrix","United States of America","Myanmar","Import Quantity","Rice, milled","2020","62.77"
"Detailed trade matrix","United States of America","Nigeria","Import Quantity","Rice, milled","2020","9.18"
"Detailed trade matrix","United States of America","North Macedonia","Import Quantity","Rice, milled","2020","21.2"
"Detailed trade matrix","United States of America","Pakistan","Import Quantity","Rice, broken","2020","190"
"Detailed trade matrix","United States of America","Pakistan","Import Quantity","Rice, milled","2020","32913.18"
"Detailed trade matrix","United States of America","Paraguay","Import Quantity","Rice, milled","2020","782.05"
"Detailed trade matrix","United States of America","Peru","Import Quantity","Rice, milled","2020","3.83"
"Detailed trade matrix","United States of America","Philippines","Import Quantity","Rice, milled","2020","39.42"
"Detailed trade matrix","United States of America","Poland","Import Quantity","Rice, milled","2020","22.35"
"Detailed trade matrix","United States of America","Portugal","Import Quantity","Rice, milled","2020","169.67"
"Detailed trade matrix","United States of America","Republic of Korea","Import Quantity","Rice, broken","2020","0.21"
"Detailed trade matrix","United States of America","Republic of Korea","Import Quantity","Rice, milled","2020","535.63"
"Detailed trade matrix","United States of America","Russian Federation","Import Quantity","Rice, milled","2020","17.31"
"Detailed trade matrix","United States of America","Serbia","Import Quantity","Rice, milled","2020","13.58"
"Detailed trade matrix","United States of America","Singapore","Import Quantity","Rice, milled","2020","44.88"
"Detailed trade matrix","United States of America","Spain","Import Quantity","Rice, milled","2020","4419.72"
"Detailed trade matrix","United States of America","Sri Lanka","Import Quantity","Rice, broken","2020","3.8"
"Detailed trade matrix","United States of America","Sri Lanka","Import Quantity","Rice, milled","2020","261.56"
"Detailed trade matrix","United States of America","Thailand","Import Quantity","Rice, broken","2020","9132.89"
"Detailed trade matrix","United States of America","Thailand","Import Quantity","Rice, milled","2020","628410.06"
"Detailed trade matrix","United States of America","Türkiye","Import Quantity","Rice, milled","2020","779.39"
"Detailed trade matrix","United States of America","Ukraine","Import Quantity","Rice, milled","2020","2.83"
"Detailed trade matrix","United States of America","United Arab Emirates","Import Quantity","Rice, milled","2020","98.84"
"Detailed trade matrix","United States of America","United Kingdom of Great Britain and Northern Ireland","Import Quantity","Rice, broken","2020","39"
"Detailed trade matrix","United States of America","United Kingdom of Great Britain and Northern Ireland","Import Quantity","Rice, milled","2020","276.71"
"Detailed trade matrix","United States of America","Uruguay","Import Quantity","Rice, broken","2020","1505.74"
