Domain,Reporter Countries,Partner Countries,Element,Item,Year,Value
"Detailed trade matrix","United States of America","Algeria","Import Quantity","Wheat","2021","5"
"Detailed trade matrix","United States of America","Argentina","Import Quantity","Wheat","2021","1.89"
"Detailed trade matrix","United States of America","Armenia","Import Quantity","Wheat","2021","47.7"
"Detailed trade matrix","United States of America","Canada","Import Quantity","Wheat","2021","1441510.31"
"Detailed trade matrix","United States of America","China, mainland","Import Quantity","Wheat","2021","2.18"
"Detailed trade matrix","United States of America","China, Taiwan Province of","Import Quantity","Wheat","2021","1.2"
"Detailed trade matrix","United States of America","Dominican Republic","Import Quantity","Wheat","2021","18.21"
"Detailed trade matrix","United States of America","Egypt","Import Quantity","Wheat","2021","12.4"
"Detailed trade matrix","United States of America","Germany","Import Quantity","Wheat","2021","4.08"
"Detailed trade matrix","United States of America","Guatemala","Import Quantity","Wheat","2021","1.16"
"Detailed trade matrix","United States of America","India","Import Quantity","Wheat","2021","29.98"
"Detailed trade matrix","United States of America","Israel","Import Quantity","Wheat","2021","4.97"
"Detailed trade matrix","United States of America","Italy","Import Quantity","Wheat","2021","538.06"
"Detailed trade matrix","United States of America","Jordan","Import Quantity","Wheat","2021","11.24"
"Detailed trade matrix","United States of America","Lebanon","Import Quantity","Wheat","2021","2.18"
"Detailed trade matrix","United States of America","Mexico","Import Quantity","Wheat","2021","1023.68"
"Detailed trade matrix","United States of America","Peru","Import Quantity","Wheat","2021","37.73"
"Detailed trade matrix","United States of America","Poland","Import Quantity","Wheat","2021","7550"
"Detailed trade matrix","United States of America","Switzerland","Import Quantity","Wheat","2021","0.6"
"Detailed trade matrix","United States of America","Ukraine","Import Quantity","Wheat","2021","4.49"
"Detailed trade matrix","United States of America","United Kingdom of Great Britain and Northern Ireland","Import Quantity","Wheat","2021","11.17"
