Domain,Reporter Countries,Partner Countries,Element,Item,Year,Value
"Detailed trade matrix","United States of America","Argentina","Import Value","Wheat","2022","2077"
"Detailed trade matrix","United States of America","Armenia","Import Value","Wheat","2022","8"
"Detailed trade matrix","United States of America","Austria","Import Value","Wheat","2022","7"
"Detailed trade matrix","United States of America","Bangladesh","Import Value","Wheat","2022","3"
"Detailed trade matrix","United States of America","Canada","Import Value","Wheat","2022","706758"
"Detailed trade matrix","United States of America","Dominican Republic","Import Value","Wheat","2022","39"
"Detailed trade matrix","United States of America","Egypt","Import Value","Wheat","2022","6"
"Detailed trade matrix","United States of America","Germany","Import Value","Wheat","2022","24"
"Detailed trade matrix","United States of America","Ghana","Import Value","Wheat","2022","4"
"Detailed trade matrix","United States of America","India","Import Value","Wheat","2022","34"
"Detailed trade matrix","United States of America","Israel","Import Value","Wheat","2022","3"
"Detailed trade matrix","United States of America","Italy","Import Value","Wheat","2022","983"
"Detailed trade matrix","United States of America","Lithuania","Import Value","Wheat","2022","19"
"Detailed trade matrix","United States of America","Mexico","Import Value","Wheat","2022","472"
"Detailed trade matrix","United States of America","Nepal","Import Value","Wheat","2022","3"
"Detailed trade matrix","United States of America","Netherlands (Kingdom of the)","Import Value","Wheat","2022","3"
"Detailed trade matrix","United States of America","New Zealand","Import Value","Wheat","2022","372"
"Detailed trade matrix","United States of America","Peru","Import Value","Wheat","2022","71"
"Detailed trade matrix","United States of America","Switzerland","Import Value","Wheat","2022","7"
"Detailed trade matrix","United States of America","Syrian Arab Republic","Import Value","Wheat","2022","3"
"Detailed trade matrix","United States of America","United Kingdom of Great Britain and Northern Ireland","Import Value","Wheat","2022","65"
